loan_id,origination_date,state,region,employment_status,income,credit_score,debt_to_income,loan_purpose,loan_type,loan_term,property_value,loan_to_value,loan_amount,interest_rate,loan_status,default_risk,approval_flag,loan_size_band,income_band,origination_year,origination_month
1001,2024-02-23,TX,South,Self-Employed,39250,695,34.96,Purchase,Conventional,30,378536,71.28,269820,6.85,Approved,Low,1,Medium,Low,2024,2
1002,2024-03-30,OH,Midwest,Full-Time,61987,662,19.42,Refinance,Conventional,15,330315,77.54,256126,6.46,Approved,Medium,1,Medium,Middle,2024,3
1003,2024-02-07,IL,Midwest,Full-Time,148113,733,42.76,Purchase,VA,30,353871,92.27,326517,6.47,Approved,Medium,1,Large,High,2024,2
1004,2025-05-12,AZ,West,Full-Time,115425,705,51.24,Purchase,Conventional,30,338425,82.46,279065,6.15,Pending,Medium,0,Medium,High,2025,5
1005,2024-12-10,CA,West,Full-Time,168646,602,48.46,Purchase,VA,30,600838,96.88,582092,8.25,Denied,High,0,Large,High,2024,12
1006,2024-08-26,AZ,West,Part-Time,55576,689,19.35,Purchase,Conventional,30,442569,87.09,385433,6.86,Approved,Medium,1,Large,Middle,2024,8
1007,2024-01-01,CA,West,Full-Time,71818,580,39.26,Purchase,FHA,30,619060,91.71,567740,7.98,Denied,High,0,Large,Middle,2024,1
1008,2024-12-08,WA,West,Full-Time,76738,766,26.7,Purchase,FHA,30,754002,90.37,681392,5.87,Approved,Medium,1,"Very Large",Middle,2024,12
1009,2024-11-09,TX,South,Full-Time,222729,763,27.75,Purchase,FHA,15,452504,92.81,419969,5.89,Approved,Medium,1,Large,High,2024,11
1010,2025-04-10,NY,Northeast,Full-Time,218014,728,34.54,Purchase,Conventional,15,619861,79.13,490496,5.9,Approved,Low,1,Large,High,2025,4
1011,2024-04-17,AZ,West,Full-Time,165575,612,35.21,Purchase,Conventional,30,403334,78.1,315004,7.85,Pending,Medium,0,Large,High,2024,4
1012,2024-01-18,TX,South,Full-Time,48388,615,35.51,Refinance,Conventional,15,503733,77.85,392156,7.43,Denied,Medium,0,Large,Low,2024,1
1013,2024-01-29,TX,South,Self-Employed,97858,674,42.55,Purchase,Conventional,15,509247,74.87,381273,6.52,Approved,Medium,1,Large,Middle,2024,1
1014,2024-02-23,FL,South,Full-Time,233171,682,32.14,Refinance,Conventional,15,475474,87.54,416230,6.41,Approved,Medium,1,Large,High,2024,2
1015,2025-02-28,FL,South,Full-Time,233241,723,20.96,Refinance,Conventional,30,303789,86.88,263932,6.07,Approved,Low,1,Medium,High,2025,2
1016,2025-02-01,FL,South,Full-Time,112290,688,32.07,Purchase,Conventional,30,537666,79.5,427444,6.86,Approved,Low,1,Large,High,2025,2
1017,2024-12-11,GA,South,Full-Time,59633,668,29.3,Refinance,Conventional,15,458709,86.83,398297,6.66,Approved,Medium,1,Large,Middle,2024,12
1018,2024-02-02,WA,West,Part-Time,222488,785,42.89,Purchase,Conventional,30,457839,85.43,391132,5.54,Approved,Medium,1,Large,High,2024,2
1019,2025-03-02,FL,South,Full-Time,60078,622,30.16,Refinance,Conventional,30,537059,85.31,458165,7.22,Pending,Medium,0,Large,Middle,2025,3
1020,2024-10-16,AZ,West,Full-Time,102529,632,35.45,Refinance,Conventional,15,535172,70.22,375798,6.98,Approved,Medium,1,Large,High,2024,10
1021,2025-03-22,AZ,West,Full-Time,44934,742,30.46,Purchase,Conventional,30,468778,78.94,370053,5.28,Approved,Low,1,Large,Low,2025,3
1022,2024-09-09,PA,Northeast,Self-Employed,85096,759,24.71,Refinance,Conventional,30,414547,83.72,347059,5.63,Approved,Low,1,Large,Middle,2024,9
1023,2025-02-28,TX,South,Full-Time,102731,624,49.47,Purchase,Conventional,30,306014,70.52,215801,7.11,Pending,High,0,Medium,High,2025,2
1024,2024-12-27,AZ,West,Full-Time,84923,684,45.16,Refinance,FHA,30,470322,94.78,445771,7.17,Pending,High,0,Large,Middle,2024,12
1025,2024-07-29,GA,South,Full-Time,53570,620,25.94,Purchase,Conventional,30,337775,86.74,292986,7.34,Approved,Medium,1,Medium,Middle,2024,7
1026,2024-03-02,CA,West,Full-Time,74803,722,34.68,Purchase,Conventional,15,629021,81.43,512212,5.8,Approved,Low,1,Large,Middle,2024,3
1027,2024-01-10,FL,South,Full-Time,81001,703,37.66,Purchase,Conventional,30,275421,83.7,230527,6.28,Approved,Medium,1,Medium,Middle,2024,1
1028,2024-09-26,OH,Midwest,Part-Time,90288,726,50.63,Purchase,FHA,30,271892,93.29,253648,6.26,Pending,Medium,0,Medium,Middle,2024,9
1029,2024-10-28,CA,West,Self-Employed,95145,786,41.47,Purchase,FHA,30,557658,94.69,528046,5.9,Approved,Medium,1,Large,Middle,2024,10
1030,2025-05-07,FL,South,Part-Time,142411,676,41.59,Refinance,FHA,15,466637,91.2,425573,6.6,Approved,High,1,Large,High,2025,5
1031,2024-04-13,FL,South,Part-Time,39860,763,22.11,Refinance,Conventional,30,337588,81.32,274527,5.36,Approved,Low,1,Medium,Low,2024,4
1032,2024-12-03,FL,South,Self-Employed,249832,728,44.06,Refinance,FHA,15,506181,95.44,483099,6.52,Pending,Medium,0,Large,High,2024,12
1033,2025-01-02,GA,South,Full-Time,171779,593,29.03,Purchase,FHA,30,365542,91.73,335312,7.78,Pending,High,0,Large,High,2025,1
1034,2025-02-03,IL,Midwest,Full-Time,63927,717,40.83,Purchase,Conventional,30,396616,78.95,313128,6.23,Approved,Medium,1,Large,Middle,2025,2
1035,2024-01-24,NY,Northeast,Full-Time,147209,691,18.66,Refinance,VA,30,374821,90.25,338276,7.05,Approved,Medium,1,Large,High,2024,1
1036,2024-03-05,WA,West,Part-Time,113077,727,42.63,Purchase,VA,30,655329,82.64,541564,6.22,Approved,Medium,1,Large,High,2024,3
1037,2024-11-14,PA,Northeast,Full-Time,59096,663,41.78,Refinance,FHA,30,320651,94.18,301989,6.97,Approved,High,1,Large,Middle,2024,11
1038,2025-03-14,NY,Northeast,Full-Time,42988,708,40.97,Purchase,Conventional,30,498725,76.22,380128,6,Approved,Medium,1,Large,Low,2025,3
1039,2025-06-25,OH,Midwest,Part-Time,38077,778,40.12,Purchase,FHA,30,351768,91.6,322219,6.08,Pending,Medium,0,Large,Low,2025,6
1040,2025-05-05,CA,West,Full-Time,90476,718,41.58,Refinance,FHA,15,554166,91.1,504845,6.22,Approved,High,1,Large,Middle,2025,5
1041,2024-04-09,AZ,West,Full-Time,77613,782,38.39,Purchase,Conventional,30,352131,83.27,293219,5.63,Approved,Medium,1,Medium,Middle,2024,4
1042,2025-06-22,IL,Midwest,Self-Employed,98606,698,39.5,Refinance,FHA,15,328563,94.39,310131,6.68,Approved,High,1,Large,Middle,2025,6
1043,2024-04-14,PA,Northeast,Self-Employed,112607,723,45.54,Refinance,Conventional,30,318757,83.43,265939,6.41,Pending,Medium,0,Medium,High,2024,4
1044,2025-06-04,GA,South,Full-Time,186553,730,21.5,Refinance,FHA,30,336903,94.85,319552,6.72,Approved,Medium,1,Large,High,2025,6
1045,2025-02-09,FL,South,Full-Time,212385,600,29.1,Purchase,VA,30,399945,96.56,386187,8.04,Pending,High,0,Large,High,2025,2
1046,2025-05-02,PA,Northeast,Self-Employed,109619,631,22.49,Refinance,VA,30,232469,87.22,202759,7.34,Approved,Medium,1,Medium,High,2025,5
1047,2024-05-08,TX,South,Part-Time,110180,593,37.71,Purchase,Conventional,30,520224,76.41,397503,7.81,Pending,Medium,0,Large,High,2024,5
1048,2024-03-06,IL,Midwest,Full-Time,60871,691,18.73,Purchase,Conventional,30,263498,81.85,215673,6.63,Approved,Medium,1,Medium,Middle,2024,3
1049,2024-07-13,CA,West,Full-Time,206805,799,42.7,Refinance,Conventional,30,606827,86.93,527515,5.64,Approved,Medium,1,Large,High,2024,7
1050,2024-12-06,FL,South,Full-Time,73935,605,29.23,Purchase,Conventional,30,354538,74.4,263776,7.66,Approved,Medium,1,Medium,Middle,2024,12
1051,2024-08-19,AZ,West,Self-Employed,76205,635,40.35,Refinance,VA,30,543033,89.23,484548,7.24,Pending,High,0,Large,Middle,2024,8
1052,2025-04-02,WA,West,Part-Time,85230,605,54.82,Refinance,FHA,30,721867,93.66,676101,8.05,Denied,High,0,"Very Large",Middle,2025,4
1053,2024-08-26,IL,Midwest,Full-Time,99373,699,30.65,Purchase,VA,30,422851,88.26,373208,6.94,Approved,Medium,1,Large,Middle,2024,8
1054,2024-03-25,NY,Northeast,Full-Time,111496,708,47.79,Purchase,Conventional,15,509545,76.32,388885,5.81,Approved,Medium,1,Large,High,2024,3
1055,2024-10-01,NY,Northeast,Full-Time,44267,703,38.85,Refinance,Conventional,30,444847,71.17,316598,6.07,Approved,Medium,1,Large,Low,2024,10
1056,2024-06-14,FL,South,Full-Time,45062,609,29.66,Purchase,Conventional,30,618127,70.04,432936,7.93,Pending,Medium,0,Large,Low,2024,6
1057,2024-08-31,PA,Northeast,Full-Time,104135,685,50.77,Purchase,Conventional,30,300345,71.85,215798,6.56,Pending,Medium,0,Medium,High,2024,8
1058,2025-03-27,AZ,West,Part-Time,117880,653,22.99,Refinance,Conventional,30,308551,77.98,240608,7.25,Approved,Medium,1,Medium,High,2025,3
1059,2025-02-18,TX,South,Full-Time,58329,664,38.51,Purchase,Conventional,30,357117,87.64,312977,6.57,Approved,High,1,Large,Middle,2025,2
1060,2024-04-02,WA,West,Full-Time,78157,692,23.45,Purchase,Conventional,30,563970,74.68,421173,6.63,Approved,Low,1,Large,Middle,2024,4
1061,2025-04-23,OH,Midwest,Full-Time,88989,667,31.51,Refinance,Conventional,30,204187,70.07,143074,6.73,Approved,Medium,1,Medium,Middle,2025,4
1062,2024-12-21,FL,South,Full-Time,77690,641,32.17,Purchase,FHA,30,499557,92.42,461691,7.31,Pending,Medium,0,Large,Middle,2024,12
1063,2025-01-10,IL,Midwest,Part-Time,112036,660,38.39,Purchase,FHA,30,492406,93.89,462320,6.99,Approved,High,1,Large,High,2025,1
1064,2024-11-24,GA,South,Full-Time,95762,743,30.82,Refinance,Conventional,30,426802,81.07,346008,5.37,Approved,Low,1,Large,Middle,2024,11
1065,2025-06-27,CA,West,Full-Time,101852,684,38.56,Refinance,FHA,15,489353,91.51,447807,6.92,Approved,High,1,Large,High,2025,6
1066,2024-11-05,OH,Midwest,Part-Time,51678,649,32.37,Purchase,Conventional,30,292203,72.58,212081,7.14,Approved,Medium,1,Medium,Middle,2024,11
1067,2024-02-11,OH,Midwest,Full-Time,117460,668,46.44,Refinance,Conventional,30,312155,77.61,242263,6.72,Pending,Medium,0,Medium,High,2024,2
1068,2024-10-25,NY,Northeast,Full-Time,226618,712,30.49,Purchase,FHA,30,451689,94.07,424904,6.42,Approved,Medium,1,Large,High,2024,10
1069,2025-04-26,FL,South,Full-Time,74282,624,50.97,Refinance,Conventional,30,304451,82.25,250411,6.96,Pending,High,0,Medium,Middle,2025,4
1070,2024-02-12,NY,Northeast,Full-Time,115109,666,19.96,Refinance,VA,30,565977,85.69,484986,6.81,Approved,Medium,1,Large,High,2024,2
1071,2024-11-13,TX,South,Full-Time,197482,716,49.34,Purchase,Conventional,30,524847,69.3,363719,5.98,Approved,Medium,1,Large,High,2024,11
1072,2025-03-21,PA,Northeast,Full-Time,98310,713,30.47,Purchase,VA,30,354774,88.53,314081,6.53,Approved,Medium,1,Large,Middle,2025,3
1073,2025-06-10,WA,West,Self-Employed,129368,737,50.67,Purchase,VA,30,453168,94.94,430238,6.38,Pending,Medium,0,Large,High,2025,6
1074,2024-07-27,PA,Northeast,Full-Time,129455,679,39.28,Refinance,Conventional,30,316617,74.55,236038,6.59,Approved,Medium,1,Medium,High,2024,7
1075,2024-02-08,TX,South,Full-Time,96021,785,22.98,Refinance,FHA,30,335834,94.65,317867,5.69,Approved,Medium,1,Large,Middle,2024,2
1076,2024-12-09,NY,Northeast,Part-Time,62628,621,23.07,Purchase,Conventional,30,735614,87.07,640499,7.38,Pending,Medium,0,"Very Large",Middle,2024,12
